,unique_id,Indcd,Nindcd,Nnindcd
0,id_50,3,J,K70
4633,id_51,5,C61,C30
9365,id_52,5,G,C39
14059,id_53,5,C75,C37
17782,id_54,6,H,F51
22250,id_55,5,G,C39
26574,id_56,6,H,F51
31291,id_57,6,H11,F52
36038,id_58,6,H,F51
40702,id_59,3,J,K70
44677,id_60,5,C75,C36
48673,id_61,5,D01,D44
53143,id_62,5,G,C39
57743,id_63,5,C69,C33
62513,id_64,2,K99,L72
67062,id_65,2,K99,L72
71385,id_66,5,G,C39
75961,id_67,2,F03,G54
80533,id_68,5,C31,C22
85077,id_69,5,C01,C13
89491,id_70,5,C76,C38
94229,id_71,5,C71,C34
98962,id_72,5,D01,D44
103606,id_73,5,C76,C38
108346,id_74,5,C75,C36
113111,id_75,5,C43,C26
117516,id_76,5,C71,C34
122308,id_77,5,C75,C36
127095,id_78,5,C05,C15
131733,id_79,6,K32,H61
135950,id_80,5,C75,C36
140550,id_81,5,G,C39
145023,id_82,5,C11,C17
149537,id_83,5,C65,C31
154248,id_84,5,C05,C15
158843,id_85,2,F07,G55
159090,id_0,2,K01,N78
163869,id_1,3,J,K70
167746,id_2,2,F07,G55
172496,id_3,2,F09,G56
177079,id_4,6,H11,F52
181558,id_5,5,C65,C31
185880,id_6,5,C73,C35
190422,id_7,3,J,K70
194765,id_8,2,G87,I65
199270,id_9,3,J,K70
203890,id_10,5,C43,C26
207925,id_11,2,F03,G54
212713,id_12,5,C99,C41
217468,id_13,5,C81,C27
222002,id_14,5,D03,D45
226321,id_15,5,C43,C26
231105,id_16,5,C71,C34
235812,id_17,5,C43,C26
240492,id_18,3,J,K70
245233,id_19,6,H,F51
249889,id_20,2,F03,G54
254657,id_21,3,J,K70
259332,id_22,5,C75,C37
264048,id_23,5,C11,C17
268653,id_24,1,I21,J67
273161,id_25,5,C75,C36
277274,id_26,5,D01,D44
282015,id_27,6,H,F51
286189,id_28,6,K32,H61
290821,id_29,5,G,C39
295608,id_30,5,C61,C30
300383,id_31,5,C75,C37
304850,id_32,5,C61,C30
309502,id_33,6,H,F51
314135,id_34,6,H11,F52
318809,id_35,5,C71,C34
323590,id_36,5,C71,C34
328270,id_37,5,C73,C35
332908,id_38,5,C43,C26
337343,id_39,2,G87,I65
341864,id_40,3,J,K70
346254,id_41,5,C81,C27
351014,id_42,2,K99,L72
355815,id_43,2,D05,D46
359533,id_44,4,E05,E50
364268,id_45,5,B01,B06
369072,id_46,3,J,K70
372666,id_47,5,C75,C36
377466,id_48,5,C71,C34
382213,id_49,3,J,K70
